passenger_id,Ticket,Fare,Cabin
1072,91376,23.33,D49
1280,PC30354,,E78
1188,STON71603,,
1285,PC67683,11.19 ,
1076,CA66768,,
1333,27848,16.71 ,
1010,A/530785,,
1288,STON2388,9.12,C68
1270,A/516789,$12.9,
1276,66631,$11.28,E45
1232,PC47439,12.9,
1216,PC58875,,
1177,CA2782,,A32
1196,93584,,
1267,A/596486,,
9005,73744,$11.06,D72
1269,STON9461,32.85,
1257,PC61880,64.99,
1164,A/584871,,
1420,1789,84.7,A109
1242,CA33732,,
1208,A/58886,,B21
1190,PC87161,24.03,
1110,CA83981,17.15,
1144,A/564506,14.92,
1197,CA74308,47.54,
1158,7370,29.47,
1414,A/573139,17.98,
1015,A/525581,6.39 ,
1384,49805,62.02,
1070,CA19906,105.83,
1051,A/534504,3.89,E13
1350,A/559892,,D25
1412,PC94200,9.55,
1258,CA12826,12.38,C116
1376,STON6472,13.01,
1390,CA66090,13.72,
1324,88063,,
1176,CA34687,21.12 ,
1088,82870,39.84,C69
1229,STON3721,16.14,
1018,CA30752,,
1068,PC20692,110.13,
1170,89993,6.86,
1059,15807,13.7,
1184,PC28588,6.61,
1218,STON51990,6.36,E116
9003,CA5146,18.37,D106
1355,CA69248,$67.22,
1386,PC44181,17.2 ,
1419,STON25936,13.57,
1104,STON47770,5.63,
1107,PC92568,24.85,E44
1028,67484,17.07,
1093,CA47357,,
1400,PC98052,17.17,B116
1065,A/53746,21.73,D37
1037,A/553999,25.16,
1109,A/527115,15.62,
1313,1122,9.16,
1193,34794,119.68,
1017,STON93942,$14.51,
1195,STON86411,136.43,E32
1368,CA12970,3.87,
1395,CA24098,$24.25,
1239,PC40332,20.7,
1029,A/583129,5.38,
1179,86733,2.38,
1146,STON34756,16.91,
1150,A/529614,12.61,
1096,CA44749,4.02 ,
1066,CA15472,13.26,
1334,23168,$100.11,C26
1138,PC77460,,
1157,A/517910,17.17,
1173,A/512429,$10.02,
1321,35918,17.76,
1038,PC7189,$36.31,
1282,PC2993,9.28,A5
1084,10946,76.04,A4
9002,STON8862,7.79,
1074,A/54245,12.46,
1209,66778,18.15,
1049,STON98705,8.21,
1106,77600,15.36,
1314,CA98806,6.86,
1351,CA96771,$19.61,C2
1346,STON60350,13.58,
1236,CA29391,102.15,
1143,CA95529,17.97,E26
1133,A/519850,$13.01,
1087,STON18160,9.78,
1217,CA28936,11.39,B91
1320,A/552579,6.71,
1361,A/575783,27.03,
1305,CA32557,14.5,
1046,PC74788,$15.93,B54
1086,29352,8.19,
1137,STON10633,,
1260,CA44996,37.83,
1124,49140,13.57,
1318,PC83511,21.26,
1362,STON8567,11.04,
1022,A/597414,82.04,
1206,A/54663,97.36,E57
1161,PC1661,,
1279,A/546802,$19.53,
1047,A/596448,50.59,
1100,PC96284,122.86,
1005,77122,,
1303,STON91920,4.92,
1128,A/589001,24.42,
1323,STON10436,12.63,
1417,A/583118,13.32,
1067,A/534871,18.57,
1127,PC27917,,
1337,CA24293,10.2,B42
1306,PC87956,$19.71,B46
1064,58655,89.54,
1388,CA50729,10.52,
1016,88849,8.16,
1224,STON8862,7.79,
1340,CA17126,92.38,
1353,PC1775,110.47,
1409,CA12567,18.11,B52
1204,STON20738,108.07,
1213,PC24256,117.11,
1341,CA21164,$22.27,
1142,CA47789,6.99,
1132,PC77912,10.14,
1336,PC20982,130.11,
1042,CA40312,5.87,
1245,CA28796,75.9,
1167,STON99215,14.88,E98
1331,PC9631,,
1291,CA72299,,E95
1097,PC3688,123.38,
1307,A/512378,29.27,
1230,STON93964,$14.57,
1249,CA24894,18.79,
1092,62394,7.68,
1278,STON66046,17.81,
1116,STON97931,10.44,
1373,49708,19.49,
1413,STON64280,13.03,
1156,PC97192,20.34,
1304,96682,16.1,B70
1050,STON97478,15.34,
1192,STON31146,13.33,C52
1262,PC27395,15.34,B92
1108,A/574482,,
1273,A/524459,26.83 ,
1134,STON95352,28.81,
1297,55938,7.59,
1252,A/515622,11.56,
1103,A/566536,9.37 ,
1387,A/511477,13.81,
1319,CA47557,40.99,
1248,STON7054,12.99,B120
1359,STON3328,29.65,
1301,A/532338,,
1265,31360,94.85,
1141,47332,6.11,
1020,PC71939,10.02,
1199,70420,$14.61,
1371,PC17816,141.56,
1095,STON76911,15.09,
1287,48528,17.76,
1286,A/554493,61.0,
1163,85211,22.86,
1404,STON51789,12.9,C73
1344,STON87901,2.12,D11
1105,76173,18.1,
1352,PC68808,54.12,
1312,STON60702,,
1043,A/593723,7.77,
1325,PC81283,17.23,
1021,92320,55.96,
1342,STON50171,,
1075,STON20783,105.78,
1171,STON23872,18.87,
1024,11515,48.45,
1223,CA89370,17.86,
1322,87455,61.04,
1289,STON91196,15.75,
1227,CA87120,,D4
1148,PC83109,12.04,
1330,29996,105.84,
1302,66673,75.72,C23
1225,PC74950,$14.83,
1174,44846,62.9,D39
1210,PC73777,66.8 ,
1393,CA61578,7.59,E55
1284,A/56661,12.47,A54
1073,STON59207,1.53,
1255,PC66880,16.78,
1250,CA19323,22.04,
1358,STON50955,16.39,
